572,2016-11-23,121,7,7
573,2016-11-23,8158,2141,2355
574,2016-11-23,0,3,5
577,2016-11-23,2256,1025,1104
579,2016-11-23,645,281,296
580,2016-11-23,1439,717,770
581,2016-11-23,570,240,247
583,2016-11-23,404,179,191
584,2016-11-23,13894,3038,3298
585,2016-11-23,8410,1788,2007
586,2016-11-23,2995,968,1021
587,2016-11-23,14219,2869,3086
588,2016-11-23,607,296,322
589,2016-11-23,94,71,76
590,2016-11-23,417,208,217
591,2016-11-23,1047,457,482
592,2016-11-23,209,115,119
594,2016-11-23,0,0,0
595,2016-11-23,1970,395,422
596,2016-11-23,17012,1900,2034
599,2016-11-23,2042,599,645
600,2016-11-23,356,310,326
601,2016-11-23,1854,349,368
602,2016-11-23,43,27,27
603,2016-11-23,3710,601,620
604,2016-11-23,43284,11897,13758
605,2016-11-23,35370,8011,9288
606,2016-11-23,6,22,22
607,2016-11-23,43,39,40
608,2016-11-23,5,7,7
614,2016-11-23,0,1,1
616,2016-11-23,1830,847,897
618,2016-11-23,2,5,5
620,2016-11-23,0,2,2
621,2016-11-23,1,2,2
622,2016-11-23,0,0,0
623,2016-11-23,0,0,0
624,2016-11-23,0,1,1
625,2016-11-23,0,1,1
626,2016-11-23,0,0,0
628,2016-11-23,0,0,0
629,2016-11-23,0,2,2
630,2016-11-23,17,14,14
631,2016-11-23,15,13,14
632,2016-11-23,0,3,3
633,2016-11-23,3,5,6
634,2016-11-23,0,3,3
635,2016-11-23,0,0,0
636,2016-11-23,0,0,0
637,2016-11-23,0,1,1
638,2016-11-23,0,0,0
639,2016-11-23,0,2,2
640,2016-11-23,0,0,0
641,2016-11-23,0,1,1
642,2016-11-23,0,0,0
645,2016-11-23,0,0,0
646,2016-11-23,0,0,0
647,2016-11-23,0,0,0
648,2016-11-23,0,0,0
649,2016-11-23,0,0,0
650,2016-11-23,10,35,35
651,2016-11-23,0,5,5
652,2016-11-23,0,1,2
653,2016-11-23,4,6,6
654,2016-11-23,11,15,16
655,2016-11-23,0,0,0
656,2016-11-23,26,17,18
657,2016-11-23,2,4,5
658,2016-11-23,32,31,37
661,2016-11-23,1,11,12
664,2016-11-23,2,6,5
665,2016-11-23,20,20,23
666,2016-11-23,79,63,67
667,2016-11-23,76,71,77
668,2016-11-23,9,7,8
669,2016-11-23,62,56,68
671,2016-11-23,19,22,29
672,2016-11-23,0,0,0
673,2016-11-23,8,11,11
674,2016-11-23,0,0,0
675,2016-11-23,5,9,9
677,2016-11-23,0,0,0
678,2016-11-23,35,35,38
680,2016-11-23,168,123,140
681,2016-11-23,0,0,0
682,2016-11-23,11,12,12
683,2016-11-23,5,11,11
684,2016-11-23,41,42,42
686,2016-11-23,15,17,19
687,2016-11-23,16,28,30
688,2016-11-23,18,18,21
689,2016-11-23,55,57,62
691,2016-11-23,62,53,61
692,2016-11-23,12,14,15
693,2016-11-23,75,72,76
694,2016-11-23,0,0,0
695,2016-11-23,0,0,0
696,2016-11-23,0,0,0
697,2016-11-23,0,0,0
698,2016-11-23,0,0,0
699,2016-11-23,0,0,0
700,2016-11-23,0,2,2
701,2016-11-23,0,0,0
702,2016-11-23,0,0,0
703,2016-11-23,0,2,2
704,2016-11-23,0,0,0
705,2016-11-23,0,0,0
706,2016-11-23,1,3,3
707,2016-11-23,0,0,0
708,2016-11-23,12,21,23
709,2016-11-23,46,45,46
712,2016-11-23,0,0,0
713,2016-11-23,105,86,90
714,2016-11-23,0,4,4
715,2016-11-23,28,32,32
716,2016-11-23,8,11,12
718,2016-11-23,0,10,10
719,2016-11-23,0,1,1
720,2016-11-23,0,2,2
721,2016-11-23,0,2,2
722,2016-11-23,0,0,0
725,2016-11-23,7,10,10
726,2016-11-23,45,54,58
727,2016-11-23,34,31,31
728,2016-11-23,58,57,61
730,2016-11-23,0,17,18
732,2016-11-23,0,1,1
733,2016-11-23,0,2,2
734,2016-11-23,0,0,0
735,2016-11-23,0,1,1
736,2016-11-23,0,0,0
737,2016-11-23,5,12,12
739,2016-11-23,0,2,2
740,2016-11-23,0,0,0
741,2016-11-23,0,1,1
743,2016-11-23,0,0,0
744,2016-11-23,0,0,0
745,2016-11-23,0,0,0
747,2016-11-23,0,0,0
748,2016-11-23,3,10,10
750,2016-11-23,21,19,21
751,2016-11-23,1,2,2
753,2016-11-23,0,0,0
754,2016-11-23,0,0,0
755,2016-11-23,0,2,2
756,2016-11-23,21,21,23
757,2016-11-23,14,16,17
758,2016-11-23,8,16,17
759,2016-11-23,2,9,9
761,2016-11-23,0,4,4
763,2016-11-23,0,0,0
764,2016-11-23,6,17,17
765,2016-11-23,23,27,29
766,2016-11-23,7,10,10
767,2016-11-23,2,3,3
768,2016-11-23,10,10,10
769,2016-11-23,42,46,48
770,2016-11-23,35,33,34
771,2016-11-23,0,2,2
772,2016-11-23,2,7,7
773,2016-11-23,12,16,16
774,2016-11-23,9,11,11
775,2016-11-23,0,1,1
776,2016-11-23,8,11,11
777,2016-11-23,0,1,1
778,2016-11-23,0,0,0
779,2016-11-23,14,12,12
780,2016-11-23,11,22,22
781,2016-11-23,10,14,14
782,2016-11-23,4,10,13
783,2016-11-23,691,189,198
784,2016-11-23,21,34,37
785,2016-11-23,3,3,3
787,2016-11-23,13,30,31
788,2016-11-23,62,64,69
789,2016-11-23,6,11,11
790,2016-11-23,0,1,1
791,2016-11-23,0,0,0
792,2016-11-23,3,3,3
793,2016-11-23,13,19,20
795,2016-11-23,3,6,6
796,2016-11-23,10,15,15
797,2016-11-23,5,7,7
798,2016-11-23,0,0,0
801,2016-11-23,7,9,10
802,2016-11-23,6,9,9
804,2016-11-23,6,11,12
